WeekNo,Agency,Median
1,EMS,59.5
2,EMS,68.5
3,EMS,69
4,EMS,67
5,EMS,62
6,EMS,61
7,EMS,61
8,EMS,72
9,EMS,64
10,EMS,67.5
11,EMS,70
12,EMS,69
13,EMS,73
14,EMS,78.5
15,EMS,85
16,EMS,91
17,EMS,91.5
18,EMS,95
19,EMS,99
20,EMS,96
21,EMS,96
22,EMS,87
23,EMS,85
24,EMS,81.5
25,EMS,87
26,EMS,80
27,EMS,83.5
28,EMS,95.5
29,EMS,85
30,EMS,84
31,EMS,82.5
32,EMS,82
33,EMS,88
34,EMS,78
35,EMS,79.5
36,EMS,81
37,EMS,81
38,EMS,84
39,EMS,84
40,EMS,80
41,EMS,81
42,EMS,84
43,EMS,77
44,EMS,77.5
45,EMS,81
46,EMS,83.5
47,EMS,79
48,EMS,85
49,EMS,79
50,EMS,70
51,EMS,80.5
52,EMS,81
53,EMS,80
1,FIRE,60
2,FIRE,56.5
3,FIRE,59
4,FIRE,61
5,FIRE,63.5
6,FIRE,63
7,FIRE,67.5
8,FIRE,47
9,FIRE,62.5
10,FIRE,55
11,FIRE,66
12,FIRE,66
13,FIRE,63
14,FIRE,71
15,FIRE,68
16,FIRE,82
17,FIRE,86
18,FIRE,76
19,FIRE,70
20,FIRE,76
21,FIRE,82
22,FIRE,81
23,FIRE,69
24,FIRE,63.5
25,FIRE,67
26,FIRE,77
27,FIRE,77
28,FIRE,71.5
29,FIRE,77
30,FIRE,74
31,FIRE,83.5
32,FIRE,74.5
33,FIRE,71
34,FIRE,77
35,FIRE,61
36,FIRE,77
37,FIRE,68
38,FIRE,70
39,FIRE,73
40,FIRE,73
41,FIRE,66
42,FIRE,80
43,FIRE,72
44,FIRE,81.5
45,FIRE,68
46,FIRE,73
47,FIRE,81
48,FIRE,76
49,FIRE,60.5
50,FIRE,74.5
51,FIRE,72
52,FIRE,70
53,FIRE,83
1,POLICE,211
2,POLICE,193
3,POLICE,176
4,POLICE,182
5,POLICE,165
6,POLICE,197
7,POLICE,228
8,POLICE,172
9,POLICE,194
10,POLICE,184.5
11,POLICE,210
12,POLICE,266
13,POLICE,231
14,POLICE,214.5
15,POLICE,295
16,POLICE,280
17,POLICE,267
18,POLICE,265.5
19,POLICE,237
20,POLICE,258
21,POLICE,207
22,POLICE,226
23,POLICE,246
24,POLICE,244.5
25,POLICE,223
26,POLICE,266
27,POLICE,262
28,POLICE,297
29,POLICE,282.5
30,POLICE,279
31,POLICE,296
32,POLICE,258
33,POLICE,252
34,POLICE,271.5
35,POLICE,251
36,POLICE,293
37,POLICE,250
38,POLICE,280.5
39,POLICE,328
40,POLICE,356
41,POLICE,302
42,POLICE,266
43,POLICE,308
44,POLICE,314
45,POLICE,290.5
46,POLICE,279
47,POLICE,260
48,POLICE,261
49,POLICE,277
50,POLICE,248
51,POLICE,229
52,POLICE,274.5
53,POLICE,243
