WeekNo,Priority,Median
1,1,59
2,1,63
3,1,67
4,1,60
5,1,56.5
6,1,65
7,1,58.5
8,1,64
9,1,61.5
10,1,70
11,1,68
12,1,67
13,1,71
14,1,71.5
15,1,82.5
16,1,83
17,1,82
18,1,86
19,1,87
20,1,81.5
21,1,85.5
22,1,79.5
23,1,83
24,1,74.5
25,1,73
26,1,78
27,1,72
28,1,80
29,1,65.5
30,1,76
31,1,69
32,1,67
33,1,77
34,1,71.5
35,1,69
36,1,71
37,1,72
38,1,74.5
39,1,73
40,1,70
41,1,70
42,1,74
43,1,66
44,1,69.5
45,1,69
46,1,81
47,1,69
48,1,81.5
49,1,71
50,1,66
51,1,71
52,1,70
53,1,76
1,2,74
2,2,68
3,2,51
4,2,53
5,2,53
6,2,59
7,2,67
8,2,48
9,2,53
10,2,52
11,2,66
12,2,85
13,2,80
14,2,85
15,2,98
16,2,96.5
17,2,98
18,2,100
19,2,97
20,2,87
21,2,84
22,2,85
23,2,87
24,2,83
25,2,89
26,2,95
27,2,87
28,2,95.5
29,2,107
30,2,97
31,2,93
32,2,87
33,2,94.5
34,2,83
35,2,85
36,2,91
37,2,84
38,2,91.5
39,2,100
40,2,96.5
41,2,90
42,2,90
43,2,85
44,2,96
45,2,91
46,2,91
47,2,87.5
48,2,84
49,2,80
50,2,82.5
51,2,79
52,2,95.5
53,2,94
1,3,71
2,3,71
3,3,71.5
4,3,76
5,3,79
6,3,74
7,3,75
8,3,75
9,3,77.5
10,3,75
11,3,77
12,3,71
13,3,73
14,3,82
15,3,82
16,3,97.5
17,3,94
18,3,97
19,3,97.5
20,3,94
21,3,95
22,3,95
23,3,91
24,3,77
25,3,96
26,3,92
27,3,88
28,3,100
29,3,99
30,3,77
31,3,102
32,3,87
33,3,85
34,3,85
35,3,83
36,3,86
37,3,85
38,3,90
39,3,96.5
40,3,86
41,3,92
42,3,90
43,3,82
44,3,97
45,3,86
46,3,86
47,3,92
48,3,80
49,3,80
50,3,82
51,3,89
52,3,80.5
53,3,85
1,4,101
2,4,90
3,4,93.5
4,4,100
5,4,90
6,4,98
7,4,99
8,4,88
9,4,92
10,4,82
11,4,90.5
12,4,90
13,4,110.5
14,4,105
15,4,148
16,4,162.5
17,4,173
18,4,119.5
19,4,139.5
20,4,135
21,4,136
22,4,123
23,4,125
24,4,125
25,4,130
26,4,130.5
27,4,137
28,4,123
29,4,134
30,4,124
31,4,137.5
32,4,124
33,4,130
34,4,130
35,4,125
36,4,130
37,4,115
38,4,123.5
39,4,111
40,4,111
41,4,109
42,4,121
43,4,119
44,4,123
45,4,126
46,4,123
47,4,113
48,4,128
49,4,120.5
50,4,118.5
51,4,110
52,4,115
53,4,123.5
1,5,172
2,5,168.5
3,5,113
4,5,262
5,5,105
6,5,132
7,5,132
8,5,120
9,5,162.5
10,5,156
11,5,120.5
12,5,151
13,5,141
14,5,173
15,5,135
16,5,174
17,5,186
18,5,168
19,5,157
20,5,164
21,5,192
22,5,177
23,5,191
24,5,151.5
25,5,123.5
26,5,175
27,5,160
28,5,144
29,5,155.5
30,5,168
31,5,115
32,5,181.5
33,5,153.5
34,5,193
35,5,173
36,5,208
37,5,159.5
38,5,108
39,5,144.5
40,5,202.5
41,5,140
42,5,133
43,5,171
44,5,214
45,5,170.5
46,5,181.5
47,5,200
48,5,171.5
49,5,213
50,5,235
51,5,189
52,5,168
53,5,247
1,6,0
2,6,15
3,6,17
4,6,0
5,6,15
6,6,40
7,6,25
8,6,16.5
9,6,19.5
10,6,26
11,6,13
12,6,16
13,6,0
14,6,0
15,6,0
16,6,0
17,6,0
18,6,0
19,6,16.5
20,6,6
21,6,50
22,6,0
23,6,0
24,6,0
25,6,22
26,6,29
27,6,14
28,6,19
29,6,32
30,6,31
31,6,0
32,6,0
33,6,14
34,6,12
35,6,54
36,6,0
37,6,13
38,6,50
39,6,13
40,6,5.5
41,6,29.5
42,6,24
43,6,41
44,6,19
45,6,18
46,6,24
47,6,38
48,6,0
49,6,0
50,6,0
51,6,0
52,6,0
53,6,0
1,8,13
2,8,9.5
3,8,13
4,8,16
5,8,16.5
6,8,28
7,8,0
8,8,0
9,8,0
10,8,21.5
11,8,15
12,8,0
13,8,18
14,8,6
15,8,0
16,8,3.5
17,8,25
18,8,12
19,8,0
20,8,20
21,8,4
22,8,0
23,8,0
24,8,0
25,8,0
26,8,19
27,8,0
28,8,21
29,8,7.5
30,8,0
31,8,0
32,8,15.5
33,8,16
34,8,21
35,8,0
36,8,9
37,8,0
38,8,5
39,8,0
40,8,16
41,8,0
42,8,22
43,8,0
44,8,0
45,8,0
46,8,0
47,8,0
48,8,33
49,8,0
50,8,6.5
51,8,8.5
52,8,0
53,8,24
1,10,0
2,10,21
3,10,21
4,10,0
5,10,85
6,10,0
7,10,0
8,10,0
9,10,0
10,10,15.5
11,10,14
12,10,26
13,10,0
14,10,148
15,10,0
16,10,0
17,10,0
18,10,0
19,10,159
20,10,174
21,10,154
22,10,229.5
23,10,172
24,10,268
25,10,109
26,10,93
27,10,45
28,10,32
29,10,11.5
30,10,234
31,10,182.5
32,10,55.5
33,10,0
34,10,78
35,10,0
36,10,163.5
37,10,123
38,10,134
39,10,85
40,10,67.5
41,10,191
42,10,119
43,10,205.5
44,10,152.5
45,10,0
46,10,245
47,10,134
48,10,64
49,10,23
50,10,0
51,10,0
52,10,72
53,10,134
