WeekNo,Agency,Median
1,EMS,59
2,EMS,66
3,EMS,67
4,EMS,64
5,EMS,61
6,EMS,59
7,EMS,60
8,EMS,70
9,EMS,62
10,EMS,66
11,EMS,69
12,EMS,67
13,EMS,71
14,EMS,77
15,EMS,84
16,EMS,90
17,EMS,88.5
18,EMS,91
19,EMS,97
20,EMS,93
21,EMS,94
22,EMS,85
23,EMS,83
24,EMS,78.5
25,EMS,85.5
26,EMS,78
27,EMS,82
28,EMS,94.5
29,EMS,79
30,EMS,82
31,EMS,79
32,EMS,79
33,EMS,85
34,EMS,75
35,EMS,74
36,EMS,78
37,EMS,77
38,EMS,80
39,EMS,82
40,EMS,77
41,EMS,77
42,EMS,81
43,EMS,74
44,EMS,74
45,EMS,78
46,EMS,80
47,EMS,76
48,EMS,81.5
49,EMS,75.5
50,EMS,67
51,EMS,76
52,EMS,77
53,EMS,77
1,FIRE,59
2,FIRE,55
3,FIRE,53.5
4,FIRE,60
5,FIRE,58
6,FIRE,61
7,FIRE,63
8,FIRE,46
9,FIRE,58.5
10,FIRE,52
11,FIRE,62
12,FIRE,64
13,FIRE,61
14,FIRE,69
15,FIRE,66.5
16,FIRE,79.5
17,FIRE,83.5
18,FIRE,74.5
19,FIRE,68
20,FIRE,73.5
21,FIRE,78
22,FIRE,76
23,FIRE,66.5
24,FIRE,60.5
25,FIRE,66
26,FIRE,75
27,FIRE,76
28,FIRE,70.5
29,FIRE,73
30,FIRE,69
31,FIRE,79.5
32,FIRE,69.5
33,FIRE,67
34,FIRE,72
35,FIRE,58
36,FIRE,71
37,FIRE,65
38,FIRE,68
39,FIRE,70
40,FIRE,67
41,FIRE,63.5
42,FIRE,77
43,FIRE,70.5
44,FIRE,76.5
45,FIRE,65
46,FIRE,72
47,FIRE,78
48,FIRE,73
49,FIRE,55
50,FIRE,69
51,FIRE,70
52,FIRE,67
53,FIRE,69
1,POLICE,84
2,POLICE,78
3,POLICE,70
4,POLICE,73
5,POLICE,71
6,POLICE,75
7,POLICE,79
8,POLICE,71
9,POLICE,70
10,POLICE,70
11,POLICE,79
12,POLICE,87
13,POLICE,87
14,POLICE,92.5
15,POLICE,107
16,POLICE,111
17,POLICE,117
18,POLICE,103.5
19,POLICE,106
20,POLICE,99
21,POLICE,96
22,POLICE,97.5
23,POLICE,102
24,POLICE,99
25,POLICE,98
26,POLICE,105
27,POLICE,97
28,POLICE,106
29,POLICE,113
30,POLICE,106
31,POLICE,105.5
32,POLICE,99
33,POLICE,106
34,POLICE,98.5
35,POLICE,96
36,POLICE,100
37,POLICE,94
38,POLICE,103
39,POLICE,106
40,POLICE,102
41,POLICE,97
42,POLICE,100
43,POLICE,96
44,POLICE,108
45,POLICE,100
46,POLICE,102
47,POLICE,98
48,POLICE,101
49,POLICE,98
50,POLICE,99
51,POLICE,89
52,POLICE,101
53,POLICE,106
